gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig
G3BP2	0.237030441846208	7.39803145590002	1.18593736814773	0.241149607015966	0.496692398494203	-5.69296375060054	FALSE
SOX5	-0.0109970787846638	2.37778736234806	-1.18576426350497	0.241217368258999	0.496701198391736	-5.69316154478131	FALSE
MBNL1	-0.223586842606134	6.99196070658234	-1.18551168714774	0.241316263205196	0.496701198391736	-5.69345009661785	FALSE
XKRY	-0.152611707536642	2.88490226954646	-1.18550481762796	0.241318953340079	0.496701198391736	-5.69345794378009	FALSE
XKRYP7	-0.152611707536642	2.88490226954646	-1.18550481762796	0.241318953340079	0.496701198391736	-5.69345794378009	FALSE
SLC37A4	0.326313616808098	7.6179181377643	1.18546109737109	0.241336074899015	0.496701198391736	-5.69350788512162	FALSE
CXCL8	-0.324885187327759	4.63551107722528	-1.18482035515458	0.241587100925473	0.497047749099743	-5.69423960081785	FALSE
NAT8B	0.512442382777172	11.1333183518443	1.18475461029617	0.241612868740088	0.497047749099743	-5.69431465908072	FALSE
MMRN1	-0.219093915766067	3.01446780445617	-1.18466916930187	0.241646359166837	0.497047749099743	-5.69441219775023	FALSE
BAZ1B	-0.191995738192537	3.3572043078529	-1.1846590796828	0.241650314231091	0.497047749099743	-5.6944237155297	FALSE
CTRB1	-0.158734281576815	2.67284883185976	-1.18456264937523	0.241688116643509	0.497050500598624	-5.69453379063088	FALSE
HSP90B1	-0.352671879678034	8.31773752975294	-1.18437724816557	0.241760809286894	0.497090437196993	-5.69474540214276	FALSE
PTPN4	-0.275495802436261	4.60436109361234	-1.1843271085759	0.241780470883725	0.497090437196993	-5.69480262462596	FALSE
COL7A1	-0.175521025642756	4.33325096449207	-1.18411047964705	0.241865432455737	0.497120456134333	-5.69504982900542	FALSE
WDR37	0.232007890906258	7.90342320209764	1.18404942240655	0.241889382929753	0.497120456134333	-5.69511949627121	FALSE
USP20	0.157182909799487	3.3615897083852	1.18401093401933	0.241904481368868	0.497120456134333	-5.69516341037837	FALSE
TCF4	-0.408674608223334	7.0280671270238	-1.18357279030983	0.242076406955512	0.497398779501142	-5.69566322426787	FALSE
SLC25A31	-0.199622895113659	3.06297453392399	-1.18240844415398	0.242533721167948	0.498263323773972	-5.69699060647457	FALSE
KCNB2	-0.155997040112196	2.68861377833788	-1.18188308371418	0.242740268952863	0.498513693790423	-5.69758912560722	FALSE
LEFTY1	-0.734109226560895	4.10211980287931	-1.18188115131741	0.242741028918212	0.498513693790423	-5.69759132663452	FALSE
SACM1L	-0.175773263963054	11.298968997611	-1.18181942075583	0.242765306975338	0.498513693790423	-5.69766163682877	FALSE
CHMP2B	0.186427014272729	9.14058039262121	1.18152905893018	0.242879527167938	0.498609249974118	-5.69799230808428	FALSE
AVEN	0.303842034689152	7.26435334396928	1.18149560143633	0.242892690906015	0.498609249974118	-5.69803040537482	FALSE
GYS2	-0.0100068103042097	2.53908689907505	-1.181422185539	0.242921577953057	0.498609249974118	-5.69811399882113	FALSE
CRMP1	0.105820062685514	2.91615937251141	1.18130204173022	0.24296885645569	0.498631207821065	-5.69825078741658	FALSE
SLC52A2	0.198727137864402	5.68914033814883	1.18113018215932	0.243036497511487	0.498694941679826	-5.69844643364767	FALSE
TP53AIP1	-0.149912843182526	2.7896946210045	-1.18093886465949	0.243111812912947	0.498774401236661	-5.69866419928626	FALSE
GAPDH	0.474287871270009	11.7444323300656	1.18052182329544	0.243276046907009	0.499036237078923	-5.69913877778064	FALSE
UNKL	-0.116583439523171	2.92919914645079	-1.1803613712938	0.243339255481098	0.49909079016895	-5.69932132434497	FALSE
GNG13	-0.047056836278899	2.64577150989348	-1.18022305310416	0.243393754182417	0.499127465512339	-5.6994786704034	FALSE
MICB	-0.173249777141907	6.16765801355826	-1.18008340368123	0.243448786361014	0.499165223659294	-5.69963751314559	FALSE
HS3ST3B1	-0.0463942084986533	2.49294512033939	-1.1799846655281	0.243487701912509	0.499169930029992	-5.69974981107974	FALSE
GRAMD4	0.131264221548576	3.6034648489462	1.17945019888919	0.243698428730732	0.49944851649657	-5.70035752223967	FALSE
EHMT2	0.0864477416019662	2.94731403155701	1.17933557161416	0.243743640571319	0.49944851649657	-5.70048782440213	FALSE
PSMA3	0.504753766523415	8.77981093011823	1.1792876351764	0.243762549690426	0.49944851649657	-5.70054231243357	FALSE
PCBD1	0.284559830657139	8.75490316247819	1.17926835621756	0.243770154812683	0.49944851649657	-5.70056422570593	FALSE
ANKRD7	-0.035696247986106	2.75187864278568	-1.17914244828952	0.243819826921861	0.499475212018618	-5.70070732960428	FALSE
RAB11FIP3	-0.407523133601488	8.55085368204702	-1.17898107408633	0.243883501583204	0.499530580027145	-5.70089072249057	FALSE
IGHV3-73	-0.081614661611797	2.69433329144116	-1.17805572410342	0.24424885625053	0.500065081425566	-5.70194187358264	FALSE
SNAI2	-0.500994133454245	5.79943577462761	-1.17785409012666	0.244328519597376	0.500065081425566	-5.70217081611368	FALSE
CHGA	-0.307884317240826	3.70059445904145	-1.17779867379466	0.244350417265487	0.500065081425566	-5.70223373133641	FALSE
TMEM147-AS1	-0.1779962043453	7.73088350842576	-1.17777161982603	0.244361108109949	0.500065081425566	-5.70226444520833	FALSE
PHOX2B	0.0136910350376662	2.26238449772357	1.17763905436823	0.244413498535339	0.500065081425566	-5.70241493468717	FALSE
EOLA2-DT	-0.252853267480989	3.40027357036698	-1.17756939856627	0.244441030054501	0.500065081425566	-5.70249400215038	FALSE
BTN2A2	-0.196816059882983	5.59289293432159	-1.17750677846764	0.244465782618977	0.500065081425566	-5.7025650794949	FALSE
MAP3K7CL	0.107989548968837	2.87604616832705	1.17749843668189	0.244469080109036	0.500065081425566	-5.70257454762257	FALSE
ACP5	0.528403865831107	8.26182725903427	1.17748439318178	0.244474631547206	0.500065081425566	-5.70259048719007	FALSE
CBX5	0.163441646350411	6.19692916466727	1.17712727040387	0.244615833886703	0.500278834465064	-5.70299576609588	FALSE
SHB	0.106696186237164	4.46336095867572	1.17688259541319	0.244712609652446	0.500336309231289	-5.70327336712187	FALSE
TPP1	0.207244810272648	6.09113941928058	1.17687061683362	0.244717348224268	0.500336309231289	-5.70328695626383	FALSE
CYP24A1	0.541196121771237	5.8570834305227	1.17676218319244	0.244760246193348	0.500348967585712	-5.70340996324126	FALSE
ADRA2B	0.0733845088361038	2.60803769466606	1.17650253387042	0.24486298943065	0.500483941959692	-5.70370446552912	FALSE
MAGEA8	-0.00984462424051058	2.51760849890446	-1.1763559228424	0.244921017179232	0.500527494028502	-5.70387072914432	FALSE
DAP3	0.0941322085501852	11.2305236144131	1.17608467612035	0.245028401168465	0.500651017332257	-5.70417828368345	FALSE
ZNF711	-0.174296884010952	2.92922799092542	-1.17601770904851	0.245054918028085	0.500651017332257	-5.70425420433141	FALSE
R3HDM4	0.219840199512396	6.50612214548911	1.17545166693861	0.245279135770111	0.500997050227308	-5.70489576362229	FALSE
HMX1	-0.0978260586016138	3.38946593895662	-1.17540456531412	0.245297800103958	0.500997050227308	-5.70494913603596	FALSE
ASAP1-IT1	0.0554163505028069	2.47499270680815	1.17479749316217	0.245538448324275	0.501413421589242	-5.7056368486118	FALSE
BSDC1	0.167571067234769	7.38003899153119	1.1746883991377	0.245581712127157	0.501426650390245	-5.70576039852506	FALSE
LRRC59	0.378178925326761	8.9030309896991	1.17448315793331	0.245663120276084	0.501517746365629	-5.70599280652973	FALSE
LINC01361	-0.023934595212642	2.57914494812848	-1.17404438795958	0.245837222080986	0.50171347307776	-5.70648952557446	FALSE
MAP3K19	-0.219184378368468	2.58668037006625	-1.1739907589277	0.24585850792932	0.50171347307776	-5.70655022544185	FALSE
RPS15	0.153015650635474	13.8461335250502	1.17376959910944	0.24594630232096	0.50171347307776	-5.70680051684706	FALSE
ATP6V0C	0.130380836332377	7.26582661787177	1.17374752173279	0.245955067677119	0.50171347307776	-5.70682549984895	FALSE
USP9Y	-0.0207487049630188	2.56425347948167	-1.17352083047418	0.246045083699676	0.50171347307776	-5.70708200045553	FALSE
ZNF362	-0.0446139511190582	2.72319116022091	-1.17347353146305	0.246063868493193	0.50171347307776	-5.70713551326268	FALSE
H1-1	0.100995585839917	2.941628496275	1.17341454201612	0.246087297591659	0.50171347307776	-5.70720224945032	FALSE
ZNF282	-0.191474764656794	4.22584112691375	-1.17324114397549	0.246156176177888	0.50171347307776	-5.7073984004737	FALSE
FAM89B	0.138940526790398	5.98890970363099	1.17319153291843	0.24617588564702	0.50171347307776	-5.70745451636095	FALSE
AVP	-0.0464553600829474	2.29661424418183	-1.1731530619074	0.246191170185302	0.50171347307776	-5.70749803001282	FALSE
SIRPG	-0.0642956273267146	2.55030789577695	-1.17296265851968	0.246266827562138	0.50171347307776	-5.70771337091688	FALSE
GRM7	-0.12132531167349	2.72201402857239	-1.17283021966501	0.246319462445444	0.50171347307776	-5.70786313605992	FALSE
CACNA2D2	-0.236387351549239	5.1901157541977	-1.17282954071282	0.246319732300837	0.50171347307776	-5.7078639037947	FALSE
PSMD10	0.203856376425174	9.04933416507639	1.17277422892871	0.246341717162217	0.50171347307776	-5.70792644696307	FALSE
ZNF444	-0.250152524705928	7.36384286832956	-1.17274307494235	0.246354100609277	0.50171347307776	-5.70796167274914	FALSE
ADH5	0.21003235152136	11.7054279593903	1.17264442597029	0.246393315707614	0.50171347307776	-5.70807320921962	FALSE
